chunk_id,source,doc_type,chunk_index,strategy,text,token_count
[slides]_i_nlp__c010,[slides]_i_nlp.pptx,slides,10,per_slide,"29
Bag of Words
Converts text into a fixed-length numerical vector
Counts word frequencies while disregarding grammar and word order
Creates a vocabulary from all unique words in the corpus
Represents text by the frequency of each word, disregarding order and context
Image Source: Kelly Sikkema

30
Bag of Words
Corpus of data

Positive reviews: 
- ""Great movie, amazing, amazing plot"" 
- ""Loved it, fantastic acting"" 
- ""Best film this year"" 

Negative reviews: 
- ""Terrible waste of time"" 
- ""Bad acting, horrible plot"" 
- ""Worst ever movie ever made""
Example",156
[slides]_i_nlp__c011,[slides]_i_nlp.pptx,slides,11,per_slide,"31
Bag of Words
vocabulary = [acting, amazing, bad, best, ever, fantastic, film, great, horrible, it, loved, made, movie, plot, terrible, time, waste, worst, year]
Example
review_vectors = [
# “Great movie, amazing, amazing plot”
[0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0], 
# “Loved it, fantastic acting”
[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0], 
# ""Best film this year"" 
[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], 
# ""Terrible waste of time"" 
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0], 
# ""Bad acting, horrible plot"" 
[1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], 
# ""Worst ever movie ever made"" 
[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0] ] 

labels = [1, 1, 1, 0, 0, 0]",388
[slides]_i_nlp__c012,[slides]_i_nlp.pptx,slides,12,per_slide,"32
Bag of Words
Now, train your traditional model (i.e. naive bayes) sentiment classifier on review vectors and labels.
Example

33
Issue
BoW may overemphasize common words (i.e. “movie”)

34
TF-IDF
Term Frequency-Inverse Document Frequency (TF-IDF)

TF captures how important a word is to that specific document (more occurrences = more important)
IDF reduces the weight of common words that appear in many documents (i.e. ""movie"")
Words that appear frequently in one document but are rare across all documents get the highest TF-IDF scores",145
[slides]_i_nlp__c013,[slides]_i_nlp.pptx,slides,13,per_slide,"35
TF-IDF
BoW = TF only

# “Great movie, amazing, amazing plot”
[0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0], 


TF-IDF = (number of times word appears in document) x log (total docs/number of docs containing word)

# “Great movie, amazing, amazing plot”
[0, 1.56, 0, 0, 0, 0, 0, 0.79, 0, 0, 0, 0, 0.48, 0.48, 0, 0, 0, 0, 0]

“amazing”
TF = appears 2 times
IDF = log(6/1) - appears in ⅙ documents
TF-IDF = 2 x log(6) = ~1.56

“movie”
TF = 1
IDF = log(6/2)
TF-IDF = 1 x log(3) = ~0.48",243
[slides]_i_nlp__c014,[slides]_i_nlp.pptx,slides,14,per_slide,"36
Issue
These approaches:
Lose negation (""not good"" counts ""good"" as positive)
Lose word order (""terrible acting but great plot"" might be misclassified)

37
N-grams
Use to capture sequences of words:
Unigrams (regular BoW):
""great"": 1
""movie"": 1
""amazing"": 1
""plot"": 1
Bigrams (2-word sequences):
""great movie"": 1
""movie amazing"": 1
""amazing plot"": 1
Trigrams (3-word sequences):
""great movie amazing"": 1
""movie amazing plot"": 1

38
Hidden Markov Models
Statistical model that models sequences. 
Based on Markov chains:
Image Source",166
[slides]_i_nlp__c015,[slides]_i_nlp.pptx,slides,15,per_slide,"To predict tomorrow’s weather, we need to know the probability of each possible sequence:  
Rain -> Sun
Rain -> Rain 
Sun -> Rain
Sun -> Sun

So we collect data:
Image Source: Scoyoc
Hidden Markov Models
39

40
Hidden Markov Models
Image Source: Scoyoc

41
Hidden Markov Models
Image Source: Scoyoc
We can’t always directly measure our observations! Sometimes we have to infer them from other variables:
😀 ☹️
☁️ ☀️ 🌧️
We can observe our friend’s emotional state
We don’t know the weather",148
[slides]_i_nlp__c016,[slides]_i_nlp.pptx,slides,16,per_slide,"42
Hidden Markov Models
By combining both the transition probabilities (likelihood of a given state continuing or changing) and the emission probabilities (proximate data sources that can help us determine the hidden state) we can estimate the most likely hidden state and state sequence.
Learn More Here
Image Source: G4G",66
[slides]_i_nlp__c017,[slides]_i_nlp.pptx,slides,17,per_slide,"Love
conveyed him and his five cousins at a suitable hour to Meryton and the girls may go or you may send them by themselves you know â Elizabeth was distressed She felt that Janeâ s feelings she is not half so handsome as Jane nor half so good humoured as Lydia But you are always giving _her_ the preference â â They have none of them do we â Darcy had walked away to another part of the business On finding Mrs Bennet Elizabeth and one of its narrowest parts They crossed it by a simple bridge in character with the general air of the scene it was a spot less adorned than any they had yet visited and the valley here contracted into a glen allowed room only for the stream and a narrow walk amidst the rough coppice wood which bordered it Elizabeth longed to observe that Mr Bingley had been a most delightful friend so easily guided that his worth was invaluable but she checked herself She remembered that he had but just courage enough to make her former assurance of her sisterâ s ready acquiescence â I hope â said she â Your cousinâ s conduct does not suit my feelings Why was he to be the judge â â You are then resolved to have him â â I have two small favours to request First that you will always exceed your income â â I hope not so Imprudence or thoughtlessness in money matters would be unpardonable in _me_ â â Exceed their income My dear Mr Bennet But I knew not I was afraid of doing too much Wretched wretched mistake â Darcy made no answer and seemed desirous of changing the subject At that moment Sir William Lucas appeared close to them meaning to pass
HMM text generation, predicts the next word, trained on the novel Pride and Prejudice:",376
[slides]_i_nlp__c018,[slides]_i_nlp.pptx,slides,18,per_slide,"45
Issues
Doesn’t take into account contextual information
Doesn’t address many of our challenges, like homonyms and synonyms
Why you may use traditional methods:
Computationally inexpensive, easy to implement
Context may not be necessary for text classification or text clustering tasks

Neural Networks for Natural Language Processing
46
46
Word Embeddings (Word2Vec)

Representing Text
47
[0,1,0]
Corpus to train BoW: “I like cats”
“cats”
“I”
“like”

Representing Text
48
[0,1,0,…,1,1,0]
In a larger corpus, you will have hundreds or thousands of dimensions, where each dimension corresponds to a single word/phrase from your training corpus.
?",191
[slides]_i_nlp__c019,[slides]_i_nlp.pptx,slides,19,per_slide,"Representing Text
49
470,000 entries in a standard English dictionary [Source]

Having a dimension for each of these seems inefficient.

Representing Text
50
bank of the river
[34, 56, 24, ….. 23, 56]
?
We want this to actually encode something about the meaning of the text rather than each word itself.

Representing Text
51
[34, 56, 24, ….. 23, 56]
We want this to actually encode something about the meaning of the text
→
We want to map it into multidimensional space of textual meaning, where each dimension corresponds to some aspect of “meaning”",143
[slides]_i_nlp__c020,[slides]_i_nlp.pptx,slides,20,per_slide,"Neural Networks!
52
x3
z1(2)
z2(2)
1
x2
x1
1
z(3)
b1(3)
b1(2)
w1,1(2)
w1,1(3)
Φ1(2)
Φ2(2)
Φ(3)

53
Word Embeddings
Learn a compact representation of the original data, capturing its essential aspects.

54
Word Embeddings
Captures semantic relationships, making it possible for words with similar meanings to have similar representations.

Dimensionality Reduction: Reduces the complexity of text data.
Capturing Semantics: Encodes meanings based on word usage and context.
Distance Measures: Similarity in meaning often correlates with proximity in vector space.

55
Image Source: David McClure Twitter
512 dimensions!",196
[slides]_i_nlp__c021,[slides]_i_nlp.pptx,slides,21,per_slide,"56
What does the data look like?
Creating a dataset:
Pass a selected N context window through a corpus of text data
Find all pairs of target and context words to form a dataset in the format of target word and context word.

57
Word2Vec (2013)
Shallow neural network architecture
Vectors encode semantic and syntactic word relationships
Enables arithmetic operations on words: king - man + woman = queen

58
Word2Vec
Single hidden layer neural network
Input layer: One-hot encoded vectors (vocabulary size)
Hidden layer: Dense linear projection (embedding dimension)
Output layer: Softmax over vocabulary
No non-linear activations between layers
Weights between input and hidden layer become final word embeddings",165
[slides]_i_nlp__c022,[slides]_i_nlp.pptx,slides,22,per_slide,"59
Word2Vec
Two training methods:
Skip-gram: Predict context words given center word
Better for rare words, works better with small training data
Continuous Bag of Words (CBOW): Predict center word from context
Faster training, better for frequent words

60
Word2Vec
input = words are one-hot encoded vectors (sparse, high-dimensional)
embedding layer transforms these into dense, lower-dimensional vectors

Word2Vec - CBOW
Input layer = 2*window_length
window_size = 2

Don’t you think deep learning is very fun?
input = words are one-hot encoded vectors (sparse, high-dimensional)
embedding layer transforms these into dense, lower-dimensional vectors
61
predicting probabilities over vocabulary (7834 tokens in vocabulary)",182
[slides]_i_nlp__c023,[slides]_i_nlp.pptx,slides,23,per_slide,"Word2Vec - CBOW
CBOW assumes all context words contribute equally to predicting the target
Averaging creates a fixed-size representation regardless of window size
Helps capture the general context rather than specific word positions
Makes the model more robust to word order variations
Lambda layer averages context word embeddings
62

Word2Vec - CBOW
Dense layer acts as a classifier over entire vocabulary
Softmax used at dense layer
Each output represents the probability of that word being the target
Through training via backpropagation, model learns optimized embeddings for all words in the vocab (loss typically categorical crossentropy)
63

Word2Vec - CBOW
Getting embeddings:
Directly extract weights of embedding layer = word embeddings

Why does this work? We are NOT using nonlinear activations!
64",190
[slides]_i_nlp__c024,[slides]_i_nlp.pptx,slides,24,per_slide,"Word2Vec:
Input → Linear → Linear → Softmax
No nonlinear activation between embedding and output.
Yet it works because:
The task (predicting context) shapes the embedding space.
It’s more like matrix factorization than deep feature extraction.
The model adjusts weights so that:
Words appearing in similar contexts get similar embeddings.
If:
""deep"" often appears near ""learning""
""deep"" often appears near ""neural""
Their embeddings move closer.
No nonlinear activation needed.
The prediction objective shapes the space.

66
Doc2Vec
Similar to Word2Vec CBOW
Adds a paragraph vector to the inputs to capture the topic of the paragraph/document
Each paragraph/doc gets its own learnable vector.
That vector participates in predicting words.
It acts like a “memory” of the document’s topic.",200
[slides]_i_nlp__c025,[slides]_i_nlp.pptx,slides,25,per_slide,"Averaging Word2Vec embeddings weakens document representation because it ignores word order and treats all words equally, potentially diluting important information. Doc2Vec learns a dedicated document vector trained to capture global semantic meaning, resulting in a stronger representation.

68
GloVe (2014)
A matrix factorization based method for learning word embeddings by analyzing word co-occurrence statistics using a log-bilinear regression model (often used as input into NN)
Image Source",105
[slides]_i_nlp__c026,[slides]_i_nlp.pptx,slides,26,per_slide,"GloVe (Global Vectors for Word Representation)

👉 Word2Vec = prediction-based👉 GloVe = count-based (matrix factorization)

🔹 Core Idea
GloVe builds a word co-occurrence matrix.
It counts:
How often does word i appear near word j?
Example corpus:
“I like deep learning”The co-occurrence matrix tracks:
how often “deep” appears near “learning”

GloVe factorizes this large co-occurrence matrix into lower-dimensional word vectors.
GloVe is a word embedding method that learns vector representations by factorizing a global word co-occurrence matrix. Unlike Word2Vec, which is prediction-based, GloVe uses corpus-wide co-occurrence statistics to learn embeddings that capture semantic relationships.",195
[slides]_i_nlp__c027,[slides]_i_nlp.pptx,slides,27,per_slide,"Neural Networks for Natural Language Processing
70
70
Recurrent Neural Networks

71
So far, we have only looked at feedforward neural networks 
Signals flow in one direction, from input → output
input
output
hidden layer

72
So far, we have only looked at feedforward neural networks 
Signals flow in one direction, from input → output



In Sequence models (RNNs, LSTMs, GRUs), the output of a layer is added to the next input and fed back into the same layer

73
Input observations are independent of one another
In sequences, observations are closely related to their neighbors in time or space
By treating them as independent we lose valuable information


RNNs allow us to retain information about the history

output
output
output
output
output
input
input
input
input
input
…
…
…
…
…
output
input
74",203
[slides]_i_nlp__c028,[slides]_i_nlp.pptx,slides,28,per_slide,"output
output
output
output
output
input
input
input
input
input
…
…
…
…
…
output
input
75

yt = α(Wxxt + Wyyt-1 + b)
76

xt
yt
ht-1
ht
X
X
+
Wx
Wy
b
tanh
yt = α(Wxxt + Wyyt-1 + b)
softmax
77

Encoder
Decoder
Sequence-to-sequence
Example: price forecasting
Sequence-to-vector
Spam or not
Vector-to-sequence
Image captioning
Encoder-decoder
Machine translation

Backpropagation through time (BPTT)
Compute the gradient of the loss across all timesteps of the sequence contributing to the current prediction using the chain rule
Training an RNN
79",198
[slides]_i_nlp__c029,[slides]_i_nlp.pptx,slides,29,per_slide,"For longer sequences, the chain can get very long and the gradient can get very close to 0 - vanishing gradient 
Because of this, RNNs have difficulty remembering information far back in history.
Challenge
80

Vanilla RNNs 
It feeds the previous hidden state forward in time.
suffer from vanishing gradients because during backpropagation through time, gradients are repeatedly multiplied by weight matrices and activation derivatives. If these values are less than 1, the gradient shrinks exponentially, preventing the model from learning long-range dependencies.

The hidden state in an RNN is 
internal memory representation of everything the network has seen so far.
the internal memory vector that carries information from previous time steps and is updated at each step using the current input and previous hidden state.",168
[slides]_i_nlp__c030,[slides]_i_nlp.pptx,slides,30,per_slide,"Imagine this sentence: ""The cat sat""
Time steps:
t=1 → ""The""t=2 → ""cat""t=3 → ""sat""
At each step:
Step 1:Input: ""The""Output: h₁
Step 2:Input: ""cat""Also uses: h₁Produces: h₂
Step 3:Input: ""sat""Also uses: h₂Produces: h₃

During training (backpropagation): The gradient must flow:
h₃ → h₂ → h₁
Each step multiplies by weights. If weights are small, gradient shrinks. That’s the vanishing gradient problem.",167
[slides]_i_nlp__c031,[slides]_i_nlp.pptx,slides,31,per_slide,"For longer sequences, the chain can get very long and the gradient can get very close to 0 - vanishing gradient 
Because of this, RNNs have difficulty remembering information far back in history.
Challenge
Solution: Architecture variations - LSTMs, GRUs
83",57
[slides]_i_nlp__c032,[slides]_i_nlp.pptx,slides,32,per_slide,"In RNN: Memory update is mostly multiplicative.
In LSTM: Memory update is additive.

1️⃣ Forget Gate
Decides what old information to remove.
Example:If sentence switches topic, forget previous context.

2️⃣ Input Gate
Decides what new information to add.
Example:If important keyword appears, store it in memory.

3️⃣ Output Gate
Decides what part of memory to expose as hidden state.
LSTMs solve the vanishing gradient problem by introducing a cell state with additive updates controlled by gating mechanisms (forget, input, and output gates). The additive memory path allows gradients to flow across many time steps without shrinking exponentially, enabling learning of long-range dependencies.

Long-Short Term Memory (LSTM)
Image Source
85",183
[slides]_i_nlp__c033,[slides]_i_nlp.pptx,slides,33,per_slide,"What It Does: Decides what information to remove from the cell's memory.
How It Works: Uses a sigmoid layer to look at previous output and current input, outputting values between 0 (forget) and 1 (keep).
Step 1. Forget Gate
Image Source
86

What It Does: Decides what new information to add to the cell's memory.
How It Works:
A sigmoid layer chooses which values to update.
A tanh layer generates new candidate values to be possibly added to the memory.
Step 2. Input Gate
Image Source
87

What It Does: Updates the cell's memory with new information while removing unnecessary information.
How It Works:
Multiplies old information by the forget gate's output to remove unwanted data.
Adds new candidate values scaled by the input gate's output to update the memory.
Step 3. Update Cell State
Image Source
88",195
[slides]_i_nlp__c034,[slides]_i_nlp.pptx,slides,34,per_slide,"What It Does: Decides and filters what output to generate from the cell state.
How It Works:
A sigmoid layer selects parts of the cell state for output.
The cell state is normalized between -1 and 1 using a tanh layer.
This normalized state is multiplied by the sigmoid layer's output to create the final output.
Step 4. Output Gate
Image Source
89

→ Cell Update Equation

By using operations that are additive (e.g., adding Ct scaled by it) rather than multiplicative, LSTMs allow the gradient to flow across many time steps without diminishing. 

This additive nature of the cell state updates, combined with the gating mechanisms that control the flow of information, helps mitigate the vanishing gradient problem by preserving the gradient magnitude over long sequences.
What happened to the vanishing gradient?
Image Source
90

Gated Recurrent Unit (GRU)
Image Source
91",200
[slides]_i_nlp__c035,[slides]_i_nlp.pptx,slides,35,per_slide,"Gated Recurrent Unit (GRU)
Changes from LSTM:
The GRU model combines the forget and input gates into a single “update gate.” 
Merges the cell state and hidden state 

The resulting model is simpler than standard LSTM models.
Image Source
92

Image Source
concatenated vector
Update Gate
What It Does: The gate decides how much of the past information should be passed along
How It Works:
Sigmoid layer takes as input concatenated ht-1 and xt multiplied by a weight matrix W 
zt acts as a mixing ratio between the previous hidden state and the new candidate state
93

Image Source
Reset Gate
What It Does: The gate decides how much of the past state should be forgotten
How It Works:
Sigmoid layer takes as input concatenated ht-1 and xt multiplied by a weight matrix W
94",204
[slides]_i_nlp__c036,[slides]_i_nlp.pptx,slides,36,per_slide,"Image Source
“Candidate” Hidden State
What It Does: Creates a candidate for the new hidden state
How It Works:
Hyperbolic tangent activation function
rt * ht-1 represents element-wise multiplication with reset gate
95

Image Source
Final Hidden State
What It Does: Combines previous hidden state and candidate state
How It Works:
zt controls balance between previous (ht-1) and candidate (h̃t) states
If zt close to 1, favors new candidate state
If zt close to 0, keeps more information from previous state
96

GRU
Has 2 gates:
Update gate
Reset gate
No separate cell state
Cell state and hidden state are merged
So GRU is simpler.

🔥 Key Difference Summary
LSTM:Separate memory (cell state) + 3 gates
GRU:Combined memory + 2 gates",202
[slides]_i_nlp__c037,[slides]_i_nlp.pptx,slides,37,per_slide,"Challenges
They have issues with sequences of different lengths
The size of the network depends on the length of the sequence, so optimization requires a longer time to train and lots of steps
They don’t work well with long text documents
Issues with long-range dependencies
They are hard to train
SLOW: They do not allow for parallel computation (all computation occurs sequentially and therefore cannot be parallelized)
CHALLENGING HYPERPARAMETER TUNING: Lots of parameters that are interlinked with one another
98

RNNs struggle with long-range dependencies because information must pass sequentially through many time steps, and they cannot be parallelized during training. Transformers address these limitations using self-attention, which allows all tokens to interact directly and enables parallel computation.",167
[slides]_i_nlp__c038,[slides]_i_nlp.pptx,slides,38,per_slide,"NLP Implementation
100
100
Handling variable-length sequences
Data Augmentation for text
Handling imbalanced text data
Data splitting best practices
Transfer Learning / Fine-tuning
Popular NLP libraries

101
Variable-length sequences
Natural text has varying lengths
Neural networks need fixed-size inputs
Batching requires consistent dimensions

102
Variable-length sequences
Padding
Add special tokens (i.e. 0s or <PAD> tokens) to shorter sequences
All sequences padded to length of longest sequence
Use padding masks to ignore padded values
Padding masks are used in loss calculation, RNN hidden state, and/or in attention scores (transformers)",149
[slides]_i_nlp__c039,[slides]_i_nlp.pptx,slides,39,per_slide,"103
Variable-length sequences
Packed Sequences
PyTorch optimization for RNNs
Only processes actual sequence elements
Reduces unnecessary computation on padding
Timestep 1: (batch size = 3) [""hello"", ""deep"", ""transformers""] 

Timestep 2: (batch size = 2) [""world"", ""learning""] (sequence ""transformers"" done) 

Timestep 3: (batch size = 1) [""is""] (sequence ""hello world"" done) 

Timestep 4: (batch size = 1) [""fun""]
data = [hello, deep, transformers, world, learning, is, fun]
 
lengths = [2, 4, 1] 

batch = [3, 2, 1, 1]",171
[slides]_i_nlp__c040,[slides]_i_nlp.pptx,slides,40,per_slide,"1️⃣ Handling Variable-Length Sequences
❓ Why do neural networks require special handling for variable-length sequences?
✅ Model Answer (Exam-Ready)
Neural networks require fixed-size inputs for efficient computation and batching. Since text sequences vary in length, they must be padded or packed to ensure consistent tensor dimensions. Without this, batching and parallel processing would not be possible.

🧠 Intuition
Computers work with matrices.If one sentence has 5 words and another has 12, you can’t stack them into the same matrix unless you pad the shorter one.

❓ What are the two main solutions?
✅ Model Answer
The two main approaches are padding and packed sequences. Padding adds special tokens (e.g., <PAD>) to shorter sequences, while packed sequences allow frameworks like PyTorch to process only valid time steps without computing over padding.",200
[slides]_i_nlp__c041,[slides]_i_nlp.pptx,slides,41,per_slide,"105
Data Augmentation
Back-translation
Translate text to another language and back
Synonym Replacement
Replace words with their synonyms [NLTK Synsets in WordNet]
Random Insertion
Random Deletion
Random Swap
Random Substitution
Image Source: Brett Jordan

106
Data Augmentation
Best Practices:
Ensure augmentations don't change the meaning/label
Apply augmentation equally across classes
Manually check samples of augmented data
Combine methods for better diversity",108
[slides]_i_nlp__c042,[slides]_i_nlp.pptx,slides,42,per_slide,"❓ Why is data augmentation harder in NLP than in computer vision?
✅ Model Answer
Text augmentation is harder because small changes to words can alter meaning or label. Unlike images where flipping or rotating preserves semantics, replacing or deleting words in text may change sentiment or intent.

🧠 Intuition
Changing one word in text can completely reverse meaning:“good” → “not good”
That’s why augmentation must be careful.

❓ Name common text augmentation techniques.
✅ Model Answer
Common techniques include back-translation, synonym replacement, random insertion, random deletion, and random word swapping. Back-translation is often most reliable because it preserves semantic meaning.",157
[slides]_i_nlp__c043,[slides]_i_nlp.pptx,slides,43,per_slide,"108
Handling Imbalanced Data
Challenge:

Real-world text datasets often have severe class imbalance:
Spam detection (99% normal, 1% spam)
Hate speech detection (majority non-toxic)
Intent classification (some intents rare)
Image Source: Samuel Regan-Asante

109
Handling Imbalanced Data
Sampling Techniques
Undersampling majority class
Oversampling minority class
Random oversampling, SMOTE for text (with word embeddings)

Loss Function Modifications
Class weights in cross-entropy loss
Inverse frequency weighting, Sqrt inverse frequency weighting

Architectural Approaches
Two-stage training
First train on balanced subset
Fine-tune on full dataset
Ensemble methods
Train multiple models on balanced subsets
Combine predictions with weighted voting",188
[slides]_i_nlp__c044,[slides]_i_nlp.pptx,slides,44,per_slide,"❓ Why is class imbalance a serious issue in NLP?
✅ Model Answer
In imbalanced datasets, models tend to favor the majority class, leading to poor performance on minority classes. This results in misleading accuracy scores and poor real-world generalization.

❓ How can we handle imbalance?
✅ Model Answer
Imbalance can be addressed through sampling techniques (oversampling/undersampling), modifying the loss function using class weights, or using ensemble methods trained on balanced subsets.

111
Data Splitting Best Practices
Challenges:

Temporal dependencies in text data
News articles should be split by date
Social media conversations need chronological splits
Cross-contamination between splits
Similar documents may appear across splits
Duplicate or near-duplicate content",169
[slides]_i_nlp__c045,[slides]_i_nlp.pptx,slides,45,per_slide,"112
Data Splitting Best Practices
Split by document source/author when possible
Prevents data leakage from writing style
Important for authorship attribution tasks
Maintain similar topic distributions across splits
Account for domain shift between train/val/test
Conversation data
Split by conversation thread, not individual messages
Keep context-reply pairs together
Sequential data
Time-based splits for forecasting tasks

❓ Why is random splitting sometimes dangerous in NLP?
✅ Model Answer
Random splitting can cause data leakage when similar or duplicate documents appear across train and test sets. This leads to overly optimistic evaluation results.

❓ What is best practice for splitting sequential or conversational data?
✅ Model Answer
Sequential data should be split chronologically to prevent future information from leaking into training. Conversation data should be split by entire threads rather than individual messages.",182
